epoch rss_kb fds watches staging_files staging_kb
1787853399 25276 11 4175 0 0
1787853429 25300 11 4175 0 0
1787853459 28796 12 4175 0 0
1787853489 25484 11 4175 0 0
1787853519 25296 11 4175 0 0
1787853549 25256 11 4175 0 0
1787853579 25276 11 4175 0 0
1787853609 25296 11 4175 0 0
1787853639 27104 11 4175 0 0
1787853669 25408 11 4175 0 0
1787853699 25304 11 4175 0 0
1787853729 29044 12 4175 0 0
1787853759 25444 11 4175 0 0
1787853789 25280 11 4175 0 0
1787853819 25304 11 4175 0 0
1787853849 25260 11 4175 0 0
1787853879 25460 11 4175 0 0
1787853909 25256 11 4175 0 0
1787853939 25312 11 4175 0 0
1787853969 25300 11 4175 0 0
1787853999 25420 11 4175 0 0
1787854029 25324 11 4175 0 0
1787854059 25324 11 4175 0 0
1787854089 25324 11 4175 0 0
1787854119 25328 11 4175 0 0
1787854149 29736 11 4175 0 0
1787854179 25312 11 4175 0 0
1787854209 27540 11 4175 0 0
1787854239 25328 11 4175 0 0
1787854269 25296 11 4175 0 0
1787854299 25312 11 4175 0 0
1787854329 25296 11 4175 0 0
1787854359 25332 11 4175 0 0
1787854389 25212 11 4175 0 0
1787854419 25316 11 4175 0 0
1787854449 25352 11 4175 0 0
1787854479 25360 11 4175 0 0
1787854509 25272 11 4175 0 0
1787854539 25160 11 4175 0 0
1787854569 25288 11 4175 0 0
1787854599 25304 11 4175 0 0
1787854629 25380 11 4175 0 0
1787854659 25272 11 4175 0 0
1787854690 25392 11 4175 0 0
1787854720 25324 11 4175 0 0
1787854750 25324 11 4175 0 0
1787854780 25324 11 4175 0 0
1787854810 25216 11 4175 0 0
1787854840 25336 11 4175 0 0
1787854870 25356 11 4175 0 0
1787854900 25428 11 4175 0 0
1787854930 25300 11 4175 0 0
1787854960 25368 11 4175 0 0
1787854990 25276 11 4175 0 0
1787855020 25400 11 4175 0 0
1787855050 25352 11 4175 0 0
1787855080 25388 11 4175 0 0
1787855110 25388 11 4175 0 0
1787855140 25424 11 4175 0 0
1787855170 27216 11 4175 0 0
1787855200 25312 11 4175 0 0
1787855230 25220 11 4175 0 0
1787855260 25376 11 4175 0 0
1787855290 25312 11 4175 0 0
1787855320 25392 11 4175 0 0
1787855350 25436 11 4175 0 0
1787855380 25304 11 4175 0 0
1787855410 25396 11 4175 0 0
1787855440 25396 11 4175 0 0
1787855470 25396 11 4175 0 0
1787855500 25308 11 4175 0 0
1787855530 25304 11 4175 0 0
1787855560 25328 11 4175 0 0
1787855590 25476 11 4175 0 0
1787855620 25216 11 4175 0 0
1787855650 25436 11 4175 0 0
1787855680 25356 11 4175 0 0
1787855710 25436 11 4175 0 0
1787855740 25312 11 4175 0 0
1787855770 25404 11 4175 0 0
1787855800 25308 11 4175 0 0
1787855830 25384 11 4175 0 0
1787855860 25340 11 4175 0 0
1787855890 27788 11 4175 0 0
1787855920 25272 11 4175 0 0
1787855950 25228 11 4175 0 0
1787855980 25264 11 4175 0 0
1787856010 25396 11 4175 0 0
1787856041 25420 11 4175 0 0
1787856071 25336 11 4175 0 0
1787856101 25348 11 4175 0 0
1787856131 25348 11 4175 0 0
1787856161 25348 11 4175 0 0
1787856191 25300 11 4175 0 0
1787856221 25244 11 4175 0 0
1787856251 25236 11 4175 0 0
1787856281 25396 11 4175 0 0
1787856311 25368 11 4175 0 0
1787856341 25500 11 4175 0 0
1787856371 25296 11 4175 0 0
1787856401 25296 11 4175 0 0
1787856431 25332 11 4175 0 0
1787856461 25284 11 4175 0 0
1787856491 25312 11 4175 0 0
1787856521 25416 11 4175 0 0
1787856551 25404 11 4175 0 0
1787856581 25416 11 4175 0 0
1787856611 25360 11 4175 0 0
1787856641 25380 11 4175 0 0
1787856671 25296 11 4175 0 0
1787856701 25452 11 4175 0 0
1787856731 25360 11 4175 0 0
1787856761 25364 11 4175 0 0
1787856791 25604 12 4175 0 0
1787856821 25328 11 4175 0 0
1787856851 25328 11 4175 0 0
1787856881 25328 11 4175 0 0
1787856911 25920 11 4175 0 0
1787856941 25324 11 4175 0 0
1787856971 25332 11 4175 0 0
1787857001 25320 11 4175 0 0
1787857031 25444 11 4175 0 0
1787857061 25384 11 4175 0 0
1787857091 25920 11 4175 0 0
1787857121 25452 11 4175 0 0
1787857151 25352 11 4175 0 0
1787857181 25324 11 4175 0 0
1787857211 25468 11 4175 0 0
1787857241 25284 11 4175 0 0
1787857271 25444 11 4175 0 0
1787857301 25424 11 4175 0 0
1787857331 25336 11 4175 0 0
1787857361 25396 11 4175 0 0
