epoch agent_rss_kb agent_fds stage_files stage_kb dest_files
1787856212 13136 6 1 8396 41515
1787856242 13168 6 1 8396 41515
1787856272 13120 6 1 8396 41515
1787856303 13160 6 1 8396 41515
1787856333 13168 6 1 8396 41515
1787856363 13136 6 1 8396 41515
1787856393 13168 6 1 8396 41515
1787856423 13136 6 1 8396 41515
1787856453 13160 6 1 8396 41515
1787856483 13128 6 1 8396 41515
1787856513 13120 6 1 8396 41515
1787856543 13160 6 1 8396 41515
1787856573 13128 6 1 8396 41515
1787856603 13144 6 1 8396 41515
1787856633 13112 6 1 8396 41515
1787856663 13152 6 1 8396 41515
1787856693 13128 6 1 8396 41515
1787856724 13152 6 1 8396 41515
1787856754 13144 6 1 8396 41515
1787856784 13144 6 1 8396 41515
1787856814 13144 6 1 8396 41515
1787856844 13144 6 1 8396 41515
1787856874 13144 6 1 8396 41515
1787856904 13120 6 1 8396 41515
1787856934 13152 6 1 8396 41515
1787856964 13152 6 1 8396 41515
1787856994 13128 6 1 8396 41515
1787857024 13136 6 1 8396 41515
1787857054 13136 6 1 8396 41515
1787857084 13116 6 1 8396 41515
1787857114 13100 6 1 8396 41515
1787857145 13128 6 1 8396 41515
1787857175 13156 6 1 8396 41515
1787857205 13100 6 1 8396 41515
1787857235 13140 6 1 8396 41515
1787857265 13148 6 1 8396 41515
1787857295 13116 6 1 8396 41515
1787857325 13140 6 1 8396 41515
1787857355 13132 6 1 8396 41515
1787857385 13172 6 1 8396 41515
1787857415 13140 6 1 8396 41515
1787857445 13140 6 1 8396 41515
1787857475 13140 6 1 8396 41515
1787857505 13172 6 1 8396 41515
1787857536 13172 6 1 8396 41515
1787857566 13172 6 1 8396 41515
1787857596 13172 6 1 8396 41515
1787857626 13172 6 1 8396 41515
1787857656 13172 6 1 8396 41515
1787857686 13128 6 1 8396 41515
1787857716 13148 6 1 8396 41515
1787857746 13092 6 1 8396 41515
1787857776 13128 6 1 8396 41515
1787857806 16008 6 1 8396 41515
1787857836 13140 6 1 8396 41515
1787857866 13212 6 1 8396 41515
1787857896 13172 6 1 8396 41515
1787857926 13172 6 1 8396 41515
1787857957 13156 6 1 8396 41515
1787857987 13140 6 1 8396 41515
1787858017 13156 6 1 8396 41515
1787858047 13148 6 1 8396 41515
1787858077 13164 6 1 8396 41515
1787858107 13164 6 1 8396 41515
1787858137 13164 6 1 8396 41515
1787858167 13104 6 1 8396 41515
1787858197 13140 6 1 8396 41515
1787858227 13140 6 1 8396 41515
1787858257 13140 6 1 8396 41515
1787858287 13152 6 1 8396 41515
1787858317 13112 6 1 8396 41515
1787858347 13144 6 1 8396 41515
1787858378 13172 6 1 8396 41515
1787858408 13132 6 1 8396 41515
1787858438 13156 6 1 8396 41515
1787858468 13160 6 1 8396 41515
1787858498 13140 6 1 8396 41515
1787858528 13140 6 1 8396 41515
1787858558 13140 6 1 8396 41515
1787858588 13172 6 1 8396 41515
1787858618 13152 6 1 8396 41515
1787858648 13080 6 1 8396 41515
1787858678 13124 6 1 8396 41515
1787858708 13068 6 1 8396 41515
1787858738 13140 6 1 8396 41515
1787858768 13160 6 1 8396 41515
1787858799 13124 6 1 8396 41515
1787858829 13168 6 1 8396 41515
1787858859 13152 6 1 8396 41515
1787858889 13136 6 1 8396 41515
1787858919 13136 6 1 8396 41515
1787858949 13136 6 1 8396 41515
1787858979 13416 6 1 8396 41515
1787859009 13148 6 1 8396 41515
1787859039 13180 6 1 8396 41515
1787859069 13168 6 1 8396 41515
1787859099 13168 6 1 8396 41515
1787859129 13140 6 1 8396 41515
1787859159 13140 6 1 8396 41515
1787859190 13112 6 1 8396 41515
1787859220 17484 6 1 8396 41515
1787859250 13124 6 1 8396 41515
1787859280 13124 6 1 8396 41515
1787859310 13092 6 1 8396 41515
1787859340 13140 6 1 8396 41515
1787859370 13136 6 1 8396 41515
1787859400 13152 6 1 8396 41515
1787859430 13128 6 1 8396 41515
1787859460 13152 6 1 8396 41515
1787859490 13152 6 1 8396 41515
1787859520 13136 6 1 8396 41515
1787859550 13152 6 1 8396 41515
1787859580 13152 6 1 8396 41515
1787859611 13152 6 1 8396 41515
1787859641 13152 6 1 8396 41515
1787859671 16884 7 1 8396 41515
1787859701 13120 6 1 8396 41515
1787859731 13152 6 1 8396 41515
1787859761 13120 6 1 8396 41515
1787859791 13152 6 1 8396 41515
1787859821 13136 6 1 8396 41515
1787859851 13160 6 1 8396 41515
